,Artist,Title,Top100,URI
3603,sigala,just got paid,0,0v3BMLcwUmAwyqJaf5997o
3604,silk city,electricity (with dua lipa),0,5N4erncE7kuUccm7zEmwzk
3605,madison mars,all they wanna be,0,2TcCnaekMPZ287vkd2f8Wi
3606,felix cartal,mood - sultan + shepard remix,0,2UXfVnQJLQcoxU6lKLmUaI
3607,calvin harris,promises (with sam smith) - david guetta remix,0,3Lv3frZVXU7Q0JEFvLIzWW
3608,iyes,this feeling,0,4YcglWzBqXHbdswqNYk7lF
3609,tritonal,u found me,0,4mEqSy9pZ4ZUhd4N6jmN4t
3611,r3hab,rumors (with sofia carson) - khrebto remix,0,4Ca78pUnzCbP5YSw6U5Kit
3612,cazzette,in time,0,7vVIT1ywbtXgRIY89u5kEH
3613,robinson,medicine - just kiddin remix,0,4YYkF2ywFSZK2854pG54Gt
3614,martin garrix,waiting for tomorrow (feat. mike shinoda),0,27YP211Rr8RezhiFVDLFI8
3615,marshmello,happier - frank walker remix,0,1IjuevPDJ8Sa97wFwQ5j4V
3616,burak yeter,wanna know u,0,6zsdt3ELdtkVasmgynMjuW
3619,benny blanco,eastside (with halsey & khalid),0,0d2iYfpKoM0QCKvcLCkBao
3621,billie eilish,when the party's over,0,43zdsphuZLzwA9k4DJhU0I
3622,astrid s,emotion,0,09rj7jigutgAkveJGpSDBT
3623,shawn mendes,lost in japan - remix,0,575NJxNUVDqwJGdzBrlLbv
3624,5 seconds of summer,valentine,0,19hh7DkfRBrpRGYfKlw7jb
3625,zedd,happy now,0,4keoy2fqgwGnbWlm3ZVZFa
3626,maroon 5,girls like you (feat. cardi b),0,6V1bu6o1Yo5ZXnsCJU8Ovk
3627,lil yachty,get dripped (feat. playboi carti),0,3m2aDCqn8eT5ElXDUiboGU
3629,the 1975,sincerity is scary,0,6HguG9HRb1Ke1bhihfE4m8
3630,ariana grande,god is a woman,0,67kQ3UW7saqCFqB54BVKKI
3631,gryffin,tie me down (with elley duhé),0,4QVS8YCpK71R4FsxSMCjhP
3632,calvin harris,promises (with sam smith),0,5N5k9nd479b1xpDZ4usjrg
3633,shawn mendes,nervous,0,5wxurz8J6YlyQRNnGN8zXS
3635,jonas blue,rise,0,3u1S1OmAUhx5DRlLrXqyp3
3636,luis fonsi,despacito - remix,0,6rPO02ozF3bM7NnOV4h6s2
3637,social house,magic in the hamptons (feat. lil yachty),0,2Yer0p7uB2lVBUAtANuuQp
3638,the 1975,tootimetootimetootime,0,33DzKnwuBE6lfOiADwzd5E
3639,post malone,psycho (feat. ty dolla $ign),0,3swc6WTsr7rl9DqQKQA55C
3640,nf,lie,0,07FkzikE6FuHIa8Ma7zJGc
3642,maroon 5,what lovers do (feat. sza),0,2j5hsQvApottzvTn4pFJWF
3643,billie eilish,you should see me in a crown,0,3XF5xLJHOQQRbWya6hBp7d
3645,alessia cara,growing pains,0,4WzhjxvLP95y7AMDy0Atwb
3646,logic,ysiv,0,1FmdAhS8FqRoEJ4jcSfuKZ
3647,halsey,now or never,0,7i2DJ88J7jQ8K7zqFX2fW8
3649,julia michaels,jump (with trippie redd),0,2OvV4NjEBRE9v8Oo7QeUCq
3650,alessia cara,scars to your beautiful,0,0prNGof3XqfTvNDxHonvdK
3651,j balvin,no es justo,0,5qFeMRz4TvetPmzjre9Dq7
3653,dyablo,pretty girl - remix,0,0Se3MuBIM5Mu12Tv9M6Ajc
3654,king lil g,grow up,0,2av09FAN9J7IgxCQ6od4SF
3655,lil rob,neighborhood music,0,1R2cccY1X0AKX6TugUKeZ5
3656,delinquent habits,tres delinquentes - radio,0,1dstLlsgEFPsaiccsUz2SP
3657,n2deep,back to the hotel,0,47ukoPgAExwBp64F2gQlv2
3658,lil rob,linda mujer,0,66KtKAAccVB258Aa7USGC8
3659,lil rob,summer nights,0,6fVCBBlHif6zfqXAEHKJy8
3660,nb ridaz,pretty girl,0,7BgFkKXIxv96EALb7NrnhQ
3661,nastyboy klick,lost in love,0,6P7YTkNb3C4ZWZI6FnmKMd
3662,king lil g,hopeless boy (feat. david ortiz),0,45f8NLNAthLQqji8lRVuOV
3663,mc magic,sexy lady,0,2ovm5VZJ36s3HKF8nkcIZI
3664,solo sinatra,royalty (feat. rio),0,6ZNVmOWe5hilcHS5CHpwtw
3666,kid frost,la raza,0,3zCg6CUmhxHukbUs0nd7ar
3667,mr. capone-e,sumertime anthem,0,2pnhESOEUmRBUuv3GDM0FJ
3668,akwid,no hay manera,0,4EWXUWHOsX3M2RPtCHibxW
3669,nino brown,eye candy,0,0FVDtHm2Cn9nxD0rHohlXX
3670,kinto sol,ella se fue,0,02LnwwnaanFpM5dZNArPBb
3671,lighter shade of brown,on a sunday afternoon,0,1cM25iyn6zKOfnywTNtvyb
3672,play-n-skillz,freaks,0,7548BhGLLLNfuwRNZASyUC
3673,kid frost,no sunshine,0,7bYII9aTzFdEJQpCLcWhba
3674,baeza,far from ready,0,1UfJre8SE6MCl4jdErW2bc
3675,payaso,im not your puppet - feat. mz. lavish,0,78IQcxljrly7RXFc9vbj4O
3676,mr. capone-e,my angel,0,1rPfJUj2s8lcSXW5iSV5VV
3677,baby bash,vamonos,0,44eKr5YDjYuIW4pzCn07Ga
3678,conejo,the devil is inside,0,3KGfwM3tPcJyRYS7G9oREb
3679,akwid,"como, cuando y donde",0,0nDMe9fzaxuzGUfwnFgeWT
3680,lighter shade of brown,homies,0,3kk66lcmo2blwB1uLHMkPJ
3681,baby bash,shorty doowop,0,6brGEL5xDlBWnjyVW22typ
3682,mr. criminal,mami mira,0,3GBFsp8UNecncaBbwnyVXM
3683,mr. criminal,banged up (feat. mr. capone-e),0,6AqS7ylVwH9ScAnbr9mFg7
3684,baeza,slip n slide,0,5rkcNkA4bDzQdT5Px2vKRq
3685,baby bash,candy coated dreamer,0,5x5PxWzrjuKozDpzNs9PVA
3686,mr. criminal,kickin back being blue,0,2NVnP7qlKNUTtOC7OkWke6
3687,cypress hill,hits from the bong,0,0cfqYhY6B8PbGF9vaVNUeG
3688,lil cuete,real og's (feat. king lil g & kozme'),0,1i2b7lBgZSLsP3ychARfyd
3689,lil' menace,luv them girls,0,5vLL8OtWGHu0o7wKNaaq40
3690,og kid frost,the good man,0,1zwJivxiWcJxBxTPakgCo2
3691,og kid frost,still for la raza,0,4NEKxyPxm5IUF3vNl9vn2H
3693,young trigger,i'm missing you,0,3GfGK3BAccljeLT9i3OMoD
3694,baby bash,cinco de mayo,0,2PAAbLVkQ44RUIKWpM6DBr
3695,gt garza,what i like,0,4rSyb6a2uyAd7OkFRE9HrB
3696,j romero,loco,0,05MNZcMNGOFSBpPXxIHUxW
3697,kap g,big racks,0,5MNEArIqoJGb4OArkF0SMW
3698,ms krazie,a gangster's wife,0,6QNphn62YKaHG1hrnPSoHi
3699,ian ewing,aphelion,0,2yXlKpLvzNCRSA8hwJhI8T
3700,bitbeats,spruce,0,3JRSjJ62fQ41Ux2AjziNxP
3701,karuna,lakeview,0,6NIlxgFge6ntAZcAvnzuJ8
3702,justnormal,still here waiting,0,3eq0mwRA9hgLoLWFPC7hx5
3703,handbook,sweet berries,0,4V4NLXR80N6ePJ6UDxez7s
3704,smartface,too tired,0,30ksReCEcSpnfAm8XCC4G7
3705,omniboi,coliseum,0,6HbLT3LuRqyDHB1uFv4ZDa
3706,monma,ooohwee,0,204GeoZOIhGrLRjTu3az46
3707,bertholet,the ceremony,0,3oQ8b6m5S531gvqZV9wEOY
3708,toonorth,lost,0,0oJVnIvEJSpBTSaCXky2mF
3709,siny,orange,0,2QFvsZEjbketrpCgCNC9Zp
3710,autumn keys,last chance,0,00hvIih24hny87nA7TVO4z
3711,tides.,mello,0,41E6swWhglkp7zSr1L65t0
3712,guustavv,daffodils,0,2HbNs886SInyQQNQMnz8YC
3714,flavors,glowstick,0,7b7vQrr4UGJWsdxYhMp6OC
3715,yomoti,second side,0,3umTvFzh3La99ZbinDUiUD
3716,masked man,sky pretty,0,0IRJgLoJ8OW10GU1xvWpHa
3717,philanthrope,morning sweetness,0,5XaohMu79GaUzXEKVLJdrE
3718,joe nora,on blaast,0,5XubRvGakl2MVm2SlSxrcq
3719,frook,i need this,0,780FqBgXteznDZ5Onxwezd
3720,siny,shokawa,0,57H6PevpETjTBN5kq0MaWK
3721,jamvvis,totoba,0,1gAvbsOsACBpvApDb05wag
3722,neotic,3 pm,0,4C3CvYuzs8hp2y5S2crdcf
3723,farazi,days,0,5fEmy3rkIMJVDPbbhmCC1t
3724,guustavv,mantis,0,38u7W3RwDp56Xdq5stohj6
3725,wun two,calles feat. tuamie,0,6LdMXBL9RHbXWtZQ8GJCWs
3726,the deli,garbage,0,2vUdpwoAfdPL94nSa58CXt
3727,molife,ekans,0,7etPnsz665GchBQlo9xoTs
3728,twuan,after hours,0,4w2l2msoYjJ2lJfTKuIXeV
3729,fractite,eve 委亜域,0,3Fe2Tabm88bSVH5Qy8Xwxs
3730,balcony,"pink hair, green eyes - instrumental",0,34hxwTsxUNK0UiDzCPu307
3731,delayde,teleshopping,0,0PmBzoUbQXbQNOjnxuTXMD
3732,digitalluc,003,0,0qcaP8mvOXhTOTlp8lmzsn
3733,frook,pettles,0,2p0cVQ0Cu7AatFzk2SN2bp
3734,shy cope,drive home,0,0E8IUQ6U20nbu7ErUSQWEE
3735,justnormal,back to the norm,0,7o4yVsNkcGiYQJRFAwLiHh
3736,yaya,roads,0,6q34n7m04aLK3nR65buEdB
3737,steezy prime,lazy sunday,0,4B2kjtbbRdDSHfDcYy5aom
3738,henyao,coffee and unicorns,0,7a5yPEfVEopwROjXPM6xXI
3739,wes wax,velvet,0,0zR5PRpQnccM2st4fKkK0X
3740,_tag,froosh,0,3VQIAOQRwGwFvBaR7E36O1
3741,nymano,summer bump,0,3zaU22V0TEmJA4TGXecR8h
3742,not yourself,morning coffee,0,05iIzEVC3qCtGAHJdoyWxI
3743,k15,when it all fades,0,48hLvOzQqVBbZb3VJf2WCA
3744,sinitus tempo,my life style,0,3jlXuHznSL7k1XC3SOmuDX
3745,swum,this again..,0,4jUTKYm8WUK3nUox8UuAau
3746,lunchmoney,queue,0,7KNO6WIHKDCxiuqnVxrJ2Z
3747,misc.inc,origin.,0,7aNrXglGhtpyzM4BYXl2e7
3748,astroblk,nothing really matters that much to me anymore.,0,3C3S5iDWZ3mqR2BFwA50k1
3749,atreesto,back at it,0,2jk9QV9zjBjoIUKzUMLRNI
3750,siny,near,0,7wKmx1Cra2uKEk8FNE7SCL
3751,no sentences,forest mill trail,0,6dX8Ig6x1O7dhv7aNvfRzz
3752,dj spinna,bleepers,0,4x0PSmIKrYJ3MDXD8tvGET
3753,cloudchord,7th inning stretch,0,3eSvzMBCG2vXB7rGNRyVRZ
3754,mister carver,numero uno,0,2RgqGbe5qROTRb20MaG59L
3755,toonorth,lookin' up,0,2OQYBsPnQgpOOGQ11TKaE8
3756,praizee,sidewall,0,4l7jeahYuBbxTlc9L6G7nY
3757,rudemanners,soulfourtyfive,0,3oMbRQixfQhRJ9AehMPYCC
3758,plusma,albatros,0,3XCzyLM9kgBYQsuSg05cos
3759,densky9,personal,0,1Jas2WQLIJM6GNaHm7d6pi
3760,ian ewing,cereus,0,2Ktg89xxrWFKpbFNsEVFBY
3761,estugarda,shroom,0,6sBOOVJB3sOacz5jiuSs9e
3762,wun two,this,0,0BpHU1qShT258s2uQGMV7h
3763,dweeb,what is there to say?,0,3Rn8eAFwKAZx7df2BkJUo4
3764,stan forebee,kensington,0,7DXK8MZ4ZCpCYEsSuIVowI
3765,sidual.,on peets,0,5mlEqWvEuNHuIPPKtRxd3w
3766,speechless,progress,0,7l0Irp3z7OQzhqCMf2fjM5
3767,ray ben rue,thirteenth,0,3U76hA1rVOPgAtnfmSHp1l
3768,elijah nang,lotus,0,5t3fY56jQc60HHfYZB0CeE
3769,winslo,set me at ease,0,6F2CsnVvISQEqLZxCF6nzL
3770,rejoicer,purple t shirts,0,1IUh4pGnhEP2XLfgV9lIuu
3771,through & through,bloom,0,1VEebGAIHDjcHZ5PZ1tsJg
3772,dewaldo,emerald,0,6a4P1RuleOJgLf00fl8TXW
3773,smartface,the writer,0,7pHpaZQT5ZMshU9h6D1sEu
3774,hydrogenii,one for my mother,0,0BWwT9nGiLrT32YZqBEKk1
3775,chief.,yesterday,0,3JdcRs53aBDG20OiPBJO9g
3776,oribu,day loop,0,6PNYJDizXtWicGYqNb1VGw
3777,leavv,thank you,0,5ZtyLBt6hvikacT1NatNWq
3778,swum,reborn,0,5oFR2QJ517wHtM9t1Ew4OO
3779,korey wade,tender,0,7Mu8sxF6KtGrvWz7RM0F5T
3780,trox,black hole,0,6yyuFwhlk9XtrA04XIaN58
3781,idealism,closer to me,0,5rpsPRrDMye3e2KYNSuS6B
3782,yomoti,restless minds,0,6eMBHbovGi1RhRrViEtvaV
3783,edamame,mango pulp (feat. ian ewing),0,5EwV6eknswhMfsZitTyLkm
3784,juan rios,perenne,0,4bLUcDbIu1asxk2y3eadDR
3785,polr,sunset,0,1ytL2ZlDRyVXk7gu9u8nUl
3786,speechless,4am,0,7w1x9aIva6dT6gwoPbGi0S
3787,herring franky,dip one,0,5kSiwIvaSp3dER6rRWQOHp
3788,[bsd.u],blueberry,0,4yMZBub2nvvB75dKx6W259
3789,onaknwn,midnight,0,16lGE137KjDGsWALvRnANE
3790,the deli,breeze,0,46jPvB4xZCgyPIxzUto8nK
3791,ian ewing,luvnyou,0,3hHlNvlnK6MUo4wuX0JLKN
3792,chris keys,ok,0,0Ta3thn7mF61y9uyLxL21H
3793,dayle,many dips,0,6sRErjniHQ8fs7Tf01ioeo
3794,j'san,good morning sunshine,0,1GMyzxALCFSx5UD6qdqmNJ
3795,kenny segal,for you,0,78lOJqmfQwWnzE4gWgizu7
3798,bcw,東岸,0,3duPB6rThIqaeSdE2YDiUp
3799,savage.m,after party,0,4THgm5slE0xx3Ps6SVimEq
3800,steven.yw 史蒂芬,枯萎的花,0,5tORuvZZDCChrSw7vBaxsM
3801,troutfresh,98,0,4mbnzf8lQYSobzPqUBAHby
3803,force嘟嘟,都市森林,0,062m10tJJh6mWEHkVVJ5I6
3804,nickthereal,i am the man,0,5D7Qrss3IGunqdzSyxptam
3805,tizzy t,贫民百万男孩,0,6W2fbfpXKWkEFF8QengT3G
3806,will pan,moonlight (feat. 袁婭維) - 中文版,0,39xYgAic0SKQzER9fIdUzh
3807,tifa chen,hustle,0,5laBj6BPcK9UlwxzLp2fS4
3809,那吾克熱,不要上街頭,0,15MrRfPFIPHg8Mfp1aaF8T
3810,cubi,bingbian病变,0,2OGAWpjfMgZxlr6S6moe4b
3811,tizzy t,中国姑娘,0,0RlUgG4h9x12YqWXj1GtSV
3812,滿舒克,做我的貓,0,6ovYjYHAUgelJdU2BuIua5
3813,寿君超,不错过,0,68rF8RTkc2hOurB2oUQ4Tq
3815,vinida,主角,0,6INhyeQSMjltBgKJRcZZ77
3816,ice nova,原本色彩,0,0LbdXT4yxoM3ogSQlWjQZI
3818,a da,明天的煩惱,0,0pW0kasekQfAKjtqL4l7yR
3819,kafe.hu,higher ground,0,1FDqNLYOnD3YN020sblYhH
3820,艾福杰尼,通過驗證,0,0WJpalwbEFRO28V3JeC9RO
3821,tizzy t,wanna be with you,0,4ohTtDsLkauQA2B4t3i1We
3822,rpg,老派約會之必要-電視影集《雙城故事》插曲,0,1RC4lAKNe6YlTC0ZMCiGUu
3823,yellow peace,next level,0,6Vk6xXzJvKLR754Q250N0I
3827,g-eazy,i mean it remix,0,56Eh85ELaB7AkBI9QWbBZT
3828,lil wayne,krazy,0,3LHWJ7C6P8fGzpdoiuoI3A
3829,the game,"astronaut p*ssy (feat. skeme, schoolboy q)",0,1bKCuUpyeRT2si7Dxqctju
3830,fabolous,when i feel like it,0,7gcvKQTSUwRJJaeOJkDkN1
3831,linkin park,guilty all the same (feat. rakim),0,6L5QMBrydoaapTDMQ0Anui
3832,young money,lookin ass,0,4aoTZHeWFCbquvIBhAUZlL
3833,kid cudi,cold blooded,0,7FtFgxkkNLfURJQOo4xBBM
3834,schoolboy q,break the bank,0,5rk3EqsP1iHuQn5tkC1Qw0
3835,pusha t,millions,0,7clUOYJb0WsAgFQEgDxSIT
3836,tyga,"good day (feat. lil wayne, meek mill)",0,4EWiPDYH3Jp4hlBj1hpQd8
3837,d12,pimp like me,0,08TchR5zJ1M9TgcGAYe4cd
3838,the game,see no evil,0,0ndpJtfKGuGM3pyNwnwSUx
3839,kanye west,new slaves,0,4cAgkb0ifwn0FSHGXnr4F6
3840,chris webby,rap nemesis,0,3Fr6Wa1ap0Lv9KZ0lxGkiE
3841,eminem,love game,0,0iMN420Q45isZVNlAqzPTW
3842,schoolboy q,oxy music,0,7nyrGhDawkns2VxJalJHwt
3843,b.o.b,ready (feat. future),0,5Lx3rQEQxI6FOKZi0FvRii
3845,lil wayne,move the damn thing feat. juelz santana,0,4pYsk2a6LqSZJ0aVxGyixq
3846,big sean,10 2 10,0,0VjkjJ1vNCrbdk0EhM6Phw
3848,juicy j,bandz a make her dance remix,0,0qmYhfRmXWaONXN6ps27PP
3849,chief keef,hate bein' sober,0,3SuzCeGoNOWmbWOoDMou0B
3850,kanye west,hold my liquor,0,5nIu0VwPOsjkF61zfevLKh
3851,drake,started from the bottom,0,5DI9jxTHrEiFAhStG7VA8E
3853,eminem,no love,0,7bHT9osSq1rwT2yaImzqCi
3854,lil wayne,drop the world,0,3e21cX0CVwzkQXiHz7WUQZ
3855,kanye west,don't like.1,0,12D0n7hKpPcjuUpcbAKjjr
3856,pusha t,pain,0,1KKx5Da0qIOxSTkvxJapQ4
3858,"tyler, the creator",ifhy,0,0NjW4SKY3gbfl2orl1p8hr
3859,kendrick lamar,swimming pools (drank) - extended version,0,5ujh1I7NZH5agbwf7Hp8Hc
3860,lil wayne,rich as fuck,0,3Eq7yD58dIXqOgw1j7NFhY
3861,tyga,enemies,0,6qwUIWR1KsuJAl1gLIWH67
3862,wiz khalifa,it's nothin - feat. 2 chainz,0,2o6Vyac7vIU35VMqhVV3qA
3864,drake,hyfr (hell ya fucking right),0,0m1KYWlT6LhFRBDVq9UNx4
3865,jay z,99 problems,0,6gtcmOwrktXnxygPkwRh4f
3866,50 cent,if i can't,0,7JeKXMQKm6GoLGTkNy2jZ0
3867,kendrick lamar,barbed wire,0,7M2cKcvCnflzp9WcxGjlbm
3868,the game,ali bomaye,0,0LFcFGLYTX6UmeIdO7NVd7
3869,king chip,wtf i want to,0,3sqU1wNPMNSJQ8OwuctPcv
3870,jay z,illest motherf**ker alive,0,4HWQexsnWXsAKBJp52hU4G
3871,t.i.,that's all she wrote (feat. eminem),0,6XAA7T9VHcqKQSzjmXAJ8o
3872,wale,chain music,0,26kO97BmpUPcmoZaWN4zUf
3873,pac div,posted,0,77h8UXtbg4cX1JkVge5lgg
3874,dj khaled,no new friends - sftb remix,0,04a1HkNH7LFsG5mEiLN7vl
3875,pries,stfu (feat. kid ink),0,0sQpNYm3zyBCRgU5nCidTe
3876,"tyler, the creator",tron cat,0,5NBwUkF6megAVibpshbj4H
3877,dj khaled,i did it for my dawgz,0,09ip6yFP9DR5CWX51j7ulA
3878,izi,fumo da solo,0,6uMdn1ovj2ZRHGMbiTQAvy
3879,columbine,adieu bientôt,0,17y8kqTbNDd9QM3j6yln4g
3880,saint jhn,reflex,0,14FwKi5Lh5HRXeo6VNXlaN
3881,lefa,solitaire,0,7B24tFa7bYayi3W2j1yFqt
3882,hornet la frappe,taga,0,4LaetMVulXier6VgeK6LtM
3883,b young,jumanji,0,4PzsYXrHh4r2BxtpNjtvoF
3884,damso,feu de bois,0,4L0Iwsk1s8cbdBcEgdm8K5
3885,green montana,amsterdam,0,5SIkBY5BHyQV8gYPKAoU2O
3886,pnl,91's,0,4LAGHmHcSt0HHwXCJcFri6
3887,still fresh,loin,0,6FPr7b2IQpmUtafljoISjK
3888,azzi memo,blabla,0,4ZkM6R7P3vGJ3O4ezCGnpy
3889,s.pri noir,fusée ariane,0,4CwBH4TNRZC3oqrfM9X5rh
3890,idaly,wine slow,0,6ux2H7UNxe4vzgNQLZQQXN
3891,ninho,44 (feat. yaro),0,46ZOMbOANX8TlyEamO31MJ
3892,ninho,lové (feat. gradur),0,4HeTbgW1dDHxE8LrNL5HDP
3893,maes,billets verts,0,3uTNli5uz5rNOqD6qZFi8L
3894,nemir,ça sert,0,6imNmcUAMFBSUKyeykQs2K
3895,jok'air,maintenant,0,54mRYJKiccQ3aGmOcXFKbd
3896,pnl,onizuka,0,4GCIYE1x1TWJCChPkpy9by
3897,f430,battosai,0,5ljbjkZwsCfn3C3q7y21wU
3898,kalash,mwaka moon - remix,0,1OGORI9Hx45AEYqxkndMhN
3899,deen burbigo,tu rêves,0,5rjhgRYyoRKLTEy0bPcUwO
3900,13 block,vide,0,69RclklKbEelwfQJCBzh0m
3901,ash kidd,valey,0,1MSdfWDPxvc9yV40jCAV3R
3902,green montana,briquet,0,5zUEzj8Sby9kbLTAcaWKVX
3903,ninho,rose,0,4Ln4KAwk37peyCh2QpqYnP
3904,pnl,a l'ammoniaque,0,1gVnckXtTdCoLwtiPPqlQS
3905,mmz,orion,0,19s7kcYey8tz8BienN8S4J
3906,usky,chronomètre,0,2tInyv0Ry3tc7fOXa5eKKf
3907,dinos,flashé,0,1HTMdbkT0kW2Wjm0gbNviJ
3908,ufo361,paradies,0,2kx7rcukcL50UysnBiWJxf
3909,oboy,cobra,0,0619EZSN86Aw7elABdodqr
3910,lonepsi,rivière & océan,0,4ge78r2EelSLz1npz6OCGU
3912,loredana,sonnenbrille,0,14kafeLy8vQRvGhA9nQnC8
3913,pnl,naha,0,0lkQfsTMmtDA37tjjew9n0
3915,junia-t,"know better (feat. miloh smith, sean leon & julian thomas)",0,4HEVrEnuR0m27G6gKHcGAi
3916,ufo361,vvs,0,3Dz60wNYgx77kkCPlTR6AM
3917,cero ismael,the conversation,0,2KtPUe7mlc9csYzjldxPaa
3918,dwn2earth,stone cold,0,3kgXFnFeUlzBdd9qYC1Io0
3919,ufo361,40k,0,5xnKRr7fCLm0Gew1TBou7e
3920,ares,russian spies,0,1uRZaZAXSFARonBjKVOdeq
3921,jamaika,abu debe,0,3uKOmZjSrWabog0VSX2TP6
3922,tads thots,phone sex,0,58YLHOboco3EScCDH8taqN
3923,summer cem,casanova,0,0jB0RNZIfaihaDKNmdrI40
3924,cinco,seul but,0,1H3qpAJHHQBlmNt6f0lDJn
3925,xatar,schwesterherz,0,2DqiaMIaqBsw9LVhyVMVxd
3926,gers pardoel,golven,0,5Mldx0QlRhRaqwsLmif56u
3927,narco polo,riche,0,4cbMxoAs8tRUKAZ3CIKnA2
3929,ariana grande,no tears left to cry,0,2qT1uLXPVPzGgFOx4jtEuo
3934,robinson,nothing to regret,0,3C2xQqHVkhA1Ht17SzPRke
3936,calvin harris,one kiss (with dua lipa),0,7ef4DlsgrMEH11cDZd32M6
3937,robin schulz,sugar (feat. francesco yates),0,5tf1VVWniHgryyumXyJM7w
3938,shawn mendes,lost in japan,0,79esEXlqqmq0GPz0xQSZTV
3939,maggie lindemann,pretty girl - cheat codes x cade remix,0,1NDxZ7cFAo481dtYWdrUnR
3941,rita ora,"girls (feat. cardi b, bebe rexha & charli xcx)",0,1YNQscOx6OqBQjxgJVhEeW
3942,king princess,1950,0,0CZ8lquoTX2Dkg7Ak2inwA
3944,david guetta,flames,0,33IOhptvC2Qoy2UhjiHXLV
3945,starley,call on me - ryan riback remix,0,2L6orAlH8tBhiFTumIfMyF
3946,hailee steinfeld,love myself,0,36phXHOKx8rO7CMp2vNX4x
3947,foster the people,sit next to me - stereotypes remix,0,4v0CuFW0bEMBQ1gRn2mB3X
3951,hailee steinfeld,"let me go (with alesso, florida georgia line & watt)",0,5Gu0PDLN4YJeW75PpBSg9p
3952,lorde,supercut,0,6K8VQ84MqhsoakN5MjrnVR
3953,camila cabello,crying in the club,0,1SJtlNRJDeYHioymcvsqev
3954,zara larsson,lush life,0,1rIKgCH4H52lrvDcz50hS8
3959,clean bandit,symphony (feat. zara larsson),0,1x5sYLZiu9r5E43kMlt9f8
3961,ariana grande,side to side,0,1FYLqciy2MckeKgTvOCawO
3962,david guetta,titanium (feat. sia),0,0lHAMNU8RGiIObScrsRgmP
3963,coldplay,hymn for the weekend - seeb remix,0,6s3GEN8wK0OMzzzZbXj0fu
3964,selena gomez,bad liar,0,2fZQIJew3nkNe99s2PKzul
3965,lauv,there's no way (feat. julia michaels),0,2hnxrRNzF74mdDzpQZQukQ
3966,avril lavigne,head above water,0,7gY3cyGcB2wnk2xDXiA0pe
3967,lauren daigle,you say,0,6Up545NUflOiXo8cEraH49
3968,andra day,amen,0,7KjfifeaIx10XJTnAgWtlr
3969,shy martin,lose you too,0,5JkUNbYSn06ghlmu0NRUMf
3970,noah cyrus,lately,0,3s4hlJ1MVdqAHfAkY2V98j
3971,maisie peters,worst of you,0,54iSfkh69fxhnSNrgvTEBp
3972,scott helman,hang ups,0,6tYi93Nes84arkBcgesJbQ
3973,magic!,more of you,0,5mdBAkjyr5AuFFbRXQ1M2X
3974,lauv,never not,0,4fFfyouye6vrX9o9z4PVMu
3975,jeremy zucker,better off,0,7bdYxWPCs46dQ0XLwySOyv
3976,james hersey,real for you,0,6auNeKMiVr4yK79CQqZ1GE
3977,khalid,saturday nights,0,5kfNriitmkNE8mUbZ7gbq8
3978,lady gaga,shallow - radio edit,0,6QfS2wq5sSC1xAJCQsTSlj
3979,alessia cara,a little more,0,75MKHk9JSlu8MOixmQ982v
3980,jp saxe,the few things (with charlotte lawrence),0,7BdXiDH2bPhBuPP2jTwRZB
3981,noah kahan,come down,0,4QjtXlzepoVp3YXMvwxyyr
3982,jess glynne,123,0,3gFgp6Ofp808Kc2qLQiN5e
3983,christian hudson,good times,0,7paJpJ8pCQ1hJ7d0WJY4eb
3984,lauren daigle,this girl,0,3bmM9wmFXk30d0pWZRozU2
3986,tyler shaw,overthink,0,27f1Lt2H74ieGCKAybxOgD
3987,jocelyn alice,still wondering,0,2VzptcZn9zNQX5JNgdRIKL
3988,forest blakk,tread lightly,0,0a1zW8yFVqHtnZ9mRRYpky
3989,dan + shay,speechless,0,3GJ4hzg4lrGwU51Y3VARbF
3990,james bay,us,0,16XiTUC2rQvb5lmtOm3FYY
3991,dua lipa,running,0,0Aj9mjOpjS2TbgSB6sdXNo
3992,kodaline,shed a tear,0,59WWDNjN2fYf3uAeV95heB
3993,billie eilish,lovely (with khalid),0,0u2P5u6lvoDfwTYjAADbn4
3994,bishop briggs,lyin',0,3Xq94gH5xsWHSBAdfG8GaO
3995,james arthur,at my weakest,0,6rcTyXe8W8kjQLyALBRj1v
3996,lauv,superhero,0,1Fo4OvzP9PThFKMeMIAEYu
3997,the shires,the hard way,0,19EfkxWNXqG2LsJnNc00QC
3998,emily warren,paranoid,0,6bigcY1dmG4tdXFH29qThb
3999,trevor myall,pyro heart,0,4Vh6u1OsjNhEXt0hlpglvD
4000,luca fogale,what i came here for,0,73WvySq47nvcUvS6IONQ5z
4001,aloe blacc,brooklyn in the summer,0,5bTysxqGHXdSGiZVgljzCY
4002,shawn mendes,like to be you feat. julia michaels,0,2IssBpPtHcViZL5vYQNHhA
4003,malia civetz,little victories,0,0qoMs9FtdNQpQh0PWs71LR
4004,calum scott,no matter what,0,5Tb6K5YFvUNXREaGbDLn1m
4006,matt maeson,unconditional,0,261j28Hxs9xzmUcrYvnY92
4007,jason mraz,more than friends (feat. meghan trainor),0,03VNgdCL9t8aPyvwZecglI
4008,scott helman,ripple effect,0,1M7qITm14RSN4md3l9ZPIS
4009,walk off the earth,fifth avenue,0,46N5PG9fipNxlUKGVDKVQ8
4010,hayley gene penner,sleep at night,0,2NLGBSeIsNv1BRXiQVeDrc
